,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Bptf,5.45E-13,-0.724762956,0.147,0.958,1.69E-08
Pdzd2,5.98E-13,-0.62652642,0,0.833,1.86E-08
Nfrkb,4.72E-12,-0.549579277,0.059,0.875,1.46E-07
Ankrd12,5.08E-12,-0.844945565,0.235,0.972,1.58E-07
Dusp7,9.23E-12,-0.497498602,0.059,0.861,2.87E-07
Eml5,9.95E-12,-0.371823068,0,0.778,3.09E-07
Ankrd17,1.28E-11,-0.70336096,0.206,0.958,3.97E-07
Glg1,1.45E-11,-0.494939478,0.059,0.889,4.51E-07
Stx16,2.02E-11,-0.555343625,0.059,0.875,6.27E-07
Larp1b,2.79E-11,-0.879213299,0.324,1,8.68E-07
Gpr137c,2.96E-11,-0.49598348,0.059,0.833,9.20E-07
Cnot6l,3.08E-11,-0.603525732,0.147,0.944,9.57E-07
Pou2f1,3.49E-11,-0.456110217,0.059,0.847,1.08E-06
Zfp292,3.81E-11,-0.773573233,0.147,0.972,1.18E-06
Ahcyl2,4.78E-11,-0.488027429,0.029,0.806,1.48E-06
Gapvd1,5.52E-11,-0.545451474,0.118,0.917,1.71E-06
Ccnt2,6.66E-11,-0.384925833,0.029,0.806,2.07E-06
Sipa1l1,6.87E-11,-0.315496156,0.059,0.875,2.13E-06
Taf10,7.01E-11,-0.806662183,0.5,0.986,2.18E-06
Syne2,7.75E-11,-0.718226712,0.059,0.847,2.41E-06
Fbxw7,7.86E-11,-0.656678894,0.176,0.944,2.44E-06
Zfp318,1.17E-10,-0.514605844,0.088,0.875,3.64E-06
Chd7,1.18E-10,-0.607309791,0.147,0.903,3.65E-06
Nup62,1.29E-10,-0.3417445,0.088,0.931,4.00E-06
Ogdh,1.29E-10,-0.456493257,0.147,0.917,4.01E-06
Kpna3,1.64E-10,-0.364351866,0.029,0.778,5.09E-06
Gm26917,1.81E-10,-0.620717884,0.118,0.917,5.62E-06
Gxylt1,1.97E-10,-0.37780089,0.059,0.819,6.12E-06
Snhg11,2.34E-10,-0.449883254,0.059,0.847,7.27E-06
Myh9,2.42E-10,-0.355148551,0.088,0.847,7.50E-06
Sec61a1,2.90E-10,-0.358623163,0.059,0.806,9.01E-06
Pbrm1,2.91E-10,-0.74605067,0.353,0.986,9.05E-06
BC005561,3.37E-10,-0.67287675,0.118,0.944,1.05E-05
Arglu1,3.61E-10,-0.868969982,0.324,0.986,1.12E-05
Zfp609,3.68E-10,-0.338254228,0.029,0.764,1.14E-05
Ehd4,3.97E-10,-0.424698456,0.059,0.833,1.23E-05
4932438A13Rik,4.15E-10,-0.682963351,0.265,0.972,1.29E-05
Wnk2,4.42E-10,-0.38320311,0.029,0.764,1.37E-05
Hjurp,4.61E-10,-0.702627403,0.176,0.903,1.43E-05
Malat1,4.63E-10,-0.896099856,0.794,1,1.44E-05
Imp3,4.67E-10,-0.394842432,0.059,0.819,1.45E-05
Pwwp2a,4.75E-10,-0.342003159,0,0.694,1.48E-05
Dcp1a,4.75E-10,-0.32352681,0,0.694,1.48E-05
Ttc14,4.90E-10,-0.524589622,0.147,0.931,1.52E-05
Iqgap3,4.96E-10,-0.406692155,0.088,0.847,1.54E-05
N4bp2,5.35E-10,-0.474258284,0.088,0.792,1.66E-05
Med13l,5.66E-10,-0.333549037,0.088,0.847,1.76E-05
Gatad2a,5.67E-10,-0.617327359,0.235,0.958,1.76E-05
Lcorl,5.71E-10,-0.350903716,0.029,0.736,1.77E-05
Csnk1e,6.13E-10,-0.784153487,0.176,0.903,1.90E-05
