,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Malat1,1.27E-32,-2.192237742,0.778,0.996,3.93E-28
Ankrd11,2.48E-23,-0.8828381,0.25,0.93,7.71E-19
Cdk12,2.25E-21,-0.983536704,0.375,0.978,6.98E-17
Kmt2c,4.07E-21,-0.83264735,0.153,0.879,1.26E-16
Brd2,6.93E-21,-0.860693248,0.556,0.985,2.15E-16
Fus,2.12E-20,-0.914270599,0.375,0.967,6.58E-16
Tra2a,4.22E-19,-0.883212864,0.083,0.768,1.31E-14
Luc7l2,1.25E-18,-0.767462349,0.333,0.926,3.87E-14
Lman2l,1.33E-18,-0.671243246,0.097,0.768,4.14E-14
Pbrm1,5.01E-18,-0.767119967,0.264,0.879,1.56E-13
Ttc14,5.42E-18,-0.774274206,0.181,0.853,1.68E-13
Stx16,1.33E-17,-0.583084076,0.125,0.765,4.13E-13
Wdr26,1.63E-17,-0.663337247,0.153,0.801,5.07E-13
Mga,1.90E-17,-0.68965101,0.153,0.824,5.91E-13
Ankrd17,3.10E-17,-0.708555063,0.153,0.787,9.64E-13
Pnisr,3.59E-17,-0.750176336,0.208,0.846,1.11E-12
Snrnp70,4.48E-17,-0.668437299,0.306,0.945,1.39E-12
BC005561,4.53E-17,-0.64711594,0.139,0.772,1.41E-12
Nktr,6.60E-17,-0.623270009,0.278,0.923,2.05E-12
Phf3,1.67E-16,-0.608915707,0.125,0.768,5.18E-12
Sbno1,1.70E-16,-0.602975697,0.361,0.949,5.29E-12
Srek1,1.82E-16,-0.654748841,0.097,0.691,5.66E-12
Sf3b1,2.36E-16,-0.635775858,0.361,0.941,7.33E-12
Rbm5,3.12E-16,-0.548832372,0.153,0.794,9.70E-12
Ahcyl2,4.00E-16,-0.571265856,0.014,0.588,1.24E-11
Hist1h2ap,8.32E-16,-0.801193666,0.083,0.684,2.59E-11
Ccnt1,1.35E-15,-0.509408685,0.069,0.684,4.19E-11
Gm42418,4.39E-15,-1.105674172,0.361,0.923,1.36E-10
Chd2,6.09E-15,-0.604549032,0.111,0.706,1.89E-10
Ash1l,6.42E-15,-0.591712548,0.153,0.743,1.99E-10
Agbl3,9.76E-15,-0.549688337,0.083,0.654,3.03E-10
Zc3h13,1.01E-14,-0.633177051,0.278,0.871,3.12E-10
Scaper,2.09E-14,-0.657549926,0.236,0.805,6.49E-10
Zfp318,2.16E-14,-0.538828539,0.25,0.842,6.72E-10
Cabin1,2.84E-14,-0.48375199,0.097,0.669,8.82E-10
AC160336.1,3.14E-14,-0.924265766,0.569,0.96,9.74E-10
Zcchc7,3.51E-14,-0.564754613,0.111,0.684,1.09E-09
Wnk1,3.80E-14,-0.55118943,0.306,0.93,1.18E-09
Rc3h2,4.00E-14,-0.51831844,0.028,0.559,1.24E-09
Mysm1,6.89E-14,-0.538157163,0.097,0.654,2.14E-09
Grid2,8.21E-14,-0.506833651,0.069,0.618,2.55E-09
Fbxw7,8.69E-14,-0.531456084,0.167,0.724,2.70E-09
Herc1,9.04E-14,-0.624818726,0.264,0.801,2.81E-09
Polr2a,1.28E-13,-0.555314505,0.333,0.893,3.98E-09
Hnrnpab,1.29E-13,-0.529073268,0.222,0.82,4.00E-09
Larp1b,1.55E-13,-0.546646053,0.181,0.757,4.80E-09
Etnk1,1.64E-13,-0.53503162,0.153,0.728,5.08E-09
Zranb1,1.95E-13,-0.454551058,0.278,0.842,6.05E-09
Rasal2,2.65E-13,-0.469889973,0.056,0.581,8.23E-09
Igf2bp3,2.74E-13,-0.451979882,0.153,0.721,8.52E-09
Gm26917,2.98E-13,-0.68612537,0.194,0.757,9.24E-09
Ttc3,3.01E-13,-0.601601572,0.5,0.941,9.36E-09
Zfp644,3.16E-13,-0.517717994,0.153,0.732,9.82E-09
Pura,3.34E-13,-0.531584282,0.097,0.636,1.04E-08
Ubn2,3.68E-13,-0.504822954,0.181,0.787,1.14E-08
Slc25a36,3.87E-13,-0.46994239,0.069,0.607,1.20E-08
Enah,4.16E-13,-0.583561761,0.208,0.746,1.29E-08
Zcchc11,4.81E-13,-0.415583718,0.125,0.699,1.49E-08
